iter	Accuracy	MultiClass
292	0.8359376855	0.4069362589
293	0.8359674316	0.4068647004
294	0.8359776907	0.4065813541
295	0.8360414943	0.4063703297
296	0.8360331836	0.4061527003
297	0.8361116031	0.405977953
298	0.8361102305	0.4057704799
299	0.8362146808	0.4055674875
300	0.8363057986	0.4053823515
301	0.8363465899	0.4051617683
302	0.8363792843	0.4049275769
303	0.8364067315	0.4047413457
304	0.8363808931	0.4045375899
305	0.8363982922	0.4044581985
306	0.8364683189	0.4042718677
307	0.8364730105	0.4040863999
308	0.8365537417	0.4038909749
309	0.8366256366	0.4037230648
310	0.836611171	0.4035302618
311	0.8366158108	0.4033652724
312	0.8366246251	0.4032585322
313	0.8367495104	0.4030790054
314	0.8367560041	0.4029132858
315	0.8368221598	0.4026929017
316	0.836923895	0.4024293037
317	0.8369709663	0.4022318541
318	0.8370776114	0.4020224228
319	0.8370454185	0.4019249094
320	0.837060233	0.4018362911
321	0.8370538056	0.4016702728
322	0.8371319175	0.4015089675
323	0.8371749028	0.4013116839
324	0.837238506	0.401086454
325	0.8372897323	0.4009413788
326	0.8373385101	0.4007175097
327	0.8373748255	0.4005300504
328	0.8374364043	0.4003913478
329	0.8374412848	0.4001957901
330	0.837456394	0.4001171289
331	0.8374585442	0.3999368719
332	0.8374117258	0.3997080906
333	0.8374311964	0.3995407447
334	0.8374635523	0.3994364605
335	0.8374888785	0.3992910534
336	0.8375699435	0.3991827864
337	0.8375867731	0.3990779048
338	0.8376735773	0.3989657545
339	0.8376951583	0.3988478623
340	0.8377420721	0.3987096575
341	0.8378357124	0.3986117127
342	0.8378055992	0.3984128691
343	0.8377610115	0.3982535885
344	0.8378122055	0.3981026054
345	0.8378803154	0.3979870365
346	0.8378059813	0.3978484335
347	0.8378039877	0.3977701705
348	0.8378674508	0.3975875239
349	0.8378122922	0.3974597741
350	0.8378016083	0.3974030185
351	0.8377843579	0.3973171218
352	0.8378246393	0.3972004908
353	0.8378435008	0.3970831628
354	0.8378435958	0.3969887694
355	0.8378393317	0.3968497349
356	0.8379411955	0.396727196
357	0.8378689744	0.3965439187
358	0.8378517032	0.396412186
359	0.8379496001	0.3963157016
360	0.8379855577	0.3961706596
361	0.8380578378	0.3960623594
362	0.838027921	0.3959818064
363	0.8380542487	0.3958008856
364	0.8380514758	0.3956742975
365	0.83819008	0.3955529866
366	0.8381795964	0.3954285227
367	0.8382285603	0.3953302128
368	0.8382388	0.3951862993
369	0.8382516292	0.3951306058
370	0.8383048518	0.3950128131
371	0.8383215705	0.39492841
372	0.8383579933	0.3948572166
373	0.8383858115	0.3946980356
374	0.8384517043	0.3946232908
375	0.8384816934	0.3944755604
376	0.8384731321	0.3943362272
377	0.8384560838	0.394265764
378	0.8384599017	0.3941365207
379	0.838506677	0.3940563659
380	0.8385170792	0.3939634328
381	0.8385617911	0.3938989107
382	0.8386044389	0.3937923696
383	0.8386002446	0.3937111859
384	0.8386743965	0.3936035163
385	0.8387087371	0.3934869849
386	0.8387366485	0.3933624878
387	0.8387047204	0.3932911616
388	0.838721597	0.3932439649
389	0.8387534998	0.393118638
390	0.8388337675	0.3930127607
391	0.8388274962	0.3929280589
392	0.8389018017	0.3928418634
393	0.8389039025	0.392749395
394	0.8389017978	0.3926875281
395	0.8389590455	0.3926340584
396	0.8389913228	0.3925128804
397	0.8390274655	0.3924123467
398	0.8390787254	0.3923151652
399	0.8390681605	0.3921728117
400	0.8391360694	0.3920902672
401	0.8391338065	0.39202538
402	0.8391231596	0.3919623183
403	0.8391144334	0.391885914
404	0.8391122953	0.3918211264
405	0.8390907441	0.3917330723
406	0.8391312063	0.3916577302
407	0.8391480758	0.3915824212
408	0.8391863873	0.3914744861
409	0.8392227446	0.3914348235
410	0.8392121855	0.3913588176
411	0.8392293652	0.3913316346
412	0.83924438	0.3913013982
413	0.8392698012	0.3912508161
414	0.8392724272	0.3912057767
415	0.8393105661	0.3911534023
416	0.8392915	0.3910707251
417	0.8393297824	0.3909856581
418	0.8393488453	0.3909458628
419	0.8393617158	0.3908918953
420	0.8394356233	0.3908103133
421	0.8393950816	0.390724317
422	0.8394398168	0.3906562104
423	0.8395251829	0.3905601906
424	0.8395736771	0.3904550435
425	0.8395824078	0.3904149495
426	0.839565432	0.3903349938
427	0.8395441946	0.3902873988
428	0.8395419959	0.3901553011
429	0.8395292512	0.3901093988
430	0.8395080708	0.3900157356
431	0.8395275181	0.389981118
432	0.8395169145	0.3899294074
433	0.8395404216	0.3898978101
434	0.8395914115	0.3898648189
435	0.8396256178	0.3898200119
436	0.8396383023	0.389780117
437	0.8396575116	0.3897159932
438	0.8396871166	0.3896912996
439	0.8396975466	0.3895928569
440	0.8396953703	0.389544067
441	0.8396997237	0.3895098146
442	0.8398187324	0.3894404135
443	0.839765569	0.3894161513
444	0.8398037885	0.3893493059
445	0.8398745336	0.3892410057
446	0.8398938018	0.3892096407
447	0.8398513814	0.3891552749
448	0.8398493285	0.3890962292
449	0.8398983584	0.3890279566
450	0.839900642	0.3889634013
451	0.8399241109	0.3889226103
452	0.8399753319	0.3888460401
453	0.8399454573	0.3887374412
454	0.8399812648	0.3887135441
455	0.8399810523	0.3886251581
456	0.8399878074	0.3885070335
457	0.8399961614	0.3884217674
458	0.8399835639	0.3883646136
459	0.839962595	0.3882878111
460	0.8399877367	0.3882012174
461	0.8399942851	0.3881373591
462	0.8400154435	0.3880985595
463	0.8400410168	0.3880771185
464	0.8400217277	0.3880089123
465	0.8400961548	0.3879743943
466	0.8400982639	0.387910536
467	0.8401299096	0.3878489678
468	0.8402001409	0.3877547735
469	0.8402407275	0.3876611435
470	0.8402217384	0.3875706333
471	0.8402130957	0.387537111
472	0.8403215815	0.3874493556
473	0.8403895134	0.3873759717
474	0.8403937679	0.3873544975
475	0.8403662224	0.3872701608
476	0.8403253783	0.3871894086
477	0.8403703248	0.3871137345
478	0.8403851908	0.3870256804
479	0.8403703412	0.3869500063
480	0.8403682577	0.3868616867
481	0.8404704147	0.3868010147
482	0.8404346085	0.3867507645
483	0.8405024129	0.3867019414
484	0.8405195897	0.3866404396
485	0.8405895961	0.3865524187
486	0.8405957104	0.3864868345
487	0.8406572719	0.3864298798
488	0.8406490782	0.3863925407
489	0.8406213173	0.3863678802
490	0.8406106578	0.3863094319
491	0.8406766827	0.3862364131
492	0.840740748	0.386199439
493	0.8407619235	0.3860915371
494	0.8407978539	0.3860107185
495	0.8408662083	0.3859036795
496	0.8408771479	0.3858780234
497	0.8409237827	0.3858406842
498	0.8408982914	0.3858029467
499	0.8409257344	0.3857201699
500	0.8409618182	0.3856726745
501	0.8410302017	0.3856085174
502	0.8410961394	0.3855314494
503	0.8411088244	0.3854802034
504	0.841125733	0.3853905562
505	0.8411449008	0.3853761516
506	0.8411191616	0.385305091
507	0.8411850922	0.3852284212
508	0.8411467598	0.3851923432
509	0.8411808434	0.3851803615
510	0.841251252	0.3851408318
511	0.8412573453	0.3850843749
512	0.8412740488	0.3850334609
513	0.8412828415	0.3849977812
514	0.8412955364	0.3849381049
515	0.8412721015	0.3848937626
516	0.8412978591	0.384788881
517	0.8413083363	0.384715497
518	0.8413297102	0.3847006609
519	0.8413169198	0.3846185479
520	0.8413339585	0.3846160586
521	0.8413746547	0.3845626885
522	0.841364341	0.3845484498
523	0.8414175616	0.3845041075
524	0.8414238783	0.3844272386
525	0.8414896248	0.3843904636
526	0.8414833392	0.3843768887
527	0.8415576536	0.3843012147
528	0.8414768577	0.3842877394
529	0.8415466222	0.3841926489
530	0.8414996028	0.3841225176
531	0.8415974587	0.3840367537
532	0.8416292829	0.3839677509
533	0.8417250105	0.3839365519
534	0.8417098955	0.3838585545
535	0.8417035944	0.3838110259
536	0.8417629578	0.38375281
537	0.8418370804	0.3836829442
538	0.8418008928	0.3836698672
539	0.8418582419	0.3836396972
540	0.8419049127	0.3836177583
541	0.8418986106	0.3836050132
542	0.8418796413	0.3835534022
543	0.8418709933	0.3834991359
544	0.8419092702	0.383454694
545	0.8419027884	0.3833583091
546	0.8418921397	0.3833181487
547	0.8418944541	0.3832409479
548	0.8419094401	0.3832300946
549	0.8419798261	0.383136531
550	0.8420181448	0.3830942796
551	0.8420503399	0.3830250113
552	0.8420715124	0.3829524239
553	0.8421075555	0.3828863087
554	0.8421415629	0.3828242758
555	0.8421565761	0.3827785063
556	0.8421967804	0.3827357903
557	0.8422586839	0.382663734
558	0.8422734659	0.3826349247
559	0.8422883653	0.3825881263
560	0.8423414803	0.3824788635
561	0.8423542098	0.3824518134
562	0.842373101	0.3823854326
563	0.8424159548	0.3823174587
564	0.842454325	0.3822848326
565	0.8425093914	0.3822205428
566	0.8425093544	0.3822102206
567	0.8425006299	0.3821518719
568	0.8425304063	0.3820839976
569	0.8425260655	0.3820567814
570	0.8425261909	0.3820126382
571	0.842545704	0.3819303925
572	0.8425712336	0.3818764581
573	0.8425371027	0.3818705502
574	0.8425542547	0.3818280333
575	0.8425456672	0.3817678592
576	0.8426008692	0.3817185051
577	0.8426459172	0.3816430301
578	0.842620291	0.3816104372
579	0.8426435529	0.3815729984
580	0.8426139824	0.3814873341
581	0.8426160338	0.3814544424
582	0.8426353323	0.3813640318
583	0.8426608487	0.3813092677
584	0.8427438596	0.3812431524
585	0.842720507	0.3812072736
586	0.84272659	0.3811177923
587	0.8426986634	0.3810556599
588	0.8427075049	0.3810074343
589	0.842780055	0.3809573832
590	0.8427886784	0.3808908697
591	0.84288022	0.3808021518
592	0.842845774	0.3807267101
593	0.8429267986	0.3806916942
594	0.8429818207	0.3806524632
595	0.8430072636	0.3805923222
596	0.8430792561	0.3805329778
597	0.8431427287	0.3804830263
598	0.8431407325	0.3804296893
599	0.8432023164	0.3803637068
600	0.8432174926	0.3802772459
601	0.8433044526	0.3802141842
602	0.8432745215	0.3801831512
603	0.8432979583	0.380092641
604	0.8432939085	0.3800255964
605	0.8433023544	0.3799812873
606	0.8433491437	0.3799391023
607	0.8433917771	0.3799023605
608	0.8434666482	0.3798061748
609	0.8434600569	0.3797603389
610	0.8434240205	0.3797483903
611	0.8434534494	0.3797007953
612	0.8435001933	0.3796533995
613	0.8435364711	0.3795991332
614	0.8435064268	0.3795603005
615	0.8435320331	0.3795369012
616	0.8435234507	0.3794777892
617	0.8435318832	0.3794627207
618	0.8435277099	0.379428767
619	0.8435618379	0.3793591335
620	0.843523645	0.3793510019
621	0.8436107861	0.3792894006
622	0.8436259579	0.3792651716
623	0.8436151074	0.3792385861
624	0.8436211289	0.3791592611
625	0.8436572668	0.3791045633
626	0.8436723964	0.3790661288
627	0.8437126464	0.3789998808
628	0.8438171129	0.3789411671
629	0.8438488649	0.3788810593
630	0.8438360405	0.3788301452
631	0.8438403897	0.3787947643
632	0.843804341	0.37878182
633	0.8438127122	0.3787469369
634	0.8438255439	0.3786810872
635	0.8438427366	0.3786461378
636	0.8438405329	0.3785672774
637	0.8438784579	0.378511418
638	0.8438637319	0.3784723529
639	0.8438742668	0.37841885
640	0.8438721493	0.3784075653
641	0.8439278299	0.3783311942
642	0.844002205	0.37828652
643	0.8440001548	0.3782545908
644	0.8440935391	0.3781896372
645	0.8440722684	0.3781052673
646	0.8441132388	0.3780401146
647	0.8441534427	0.3780141929
648	0.8441962845	0.3779541847
649	0.8441855428	0.377941174
650	0.8441683833	0.3779291923
651	0.844098159	0.3778895962
652	0.8440790183	0.3778227176
653	0.8440914789	0.377772069
654	0.8441195021	0.3777098703
655	0.844153461	0.3776624744
656	0.8442129285	0.3775991471
657	0.8442616905	0.3775470714
658	0.8442573949	0.3775003394
659	0.8442445338	0.3774374768
660	0.8442488504	0.3773947608
661	0.8442594383	0.3773206798
662	0.8443505004	0.3772411225
663	0.8443610591	0.3772102886
664	0.8443674604	0.3771832385
665	0.8443420005	0.3771459657
666	0.8443843467	0.377100694
667	0.8443524222	0.3770666738
668	0.8443930181	0.3769786529
669	0.8444461144	0.3769459936
670	0.844448107	0.3769094842
671	0.8444224247	0.3768780529
672	0.8444526099	0.3768360007
673	0.8445226429	0.3767952761
674	0.8445590038	0.3767407111
675	0.8445570538	0.3766847853
676	0.8446206846	0.3766276978
677	0.8446292534	0.3765909893
678	0.8446104296	0.3765598567
679	0.8445785859	0.3765074491
680	0.844678367	0.3764554398
681	0.8446954319	0.3764078779
682	0.8446976287	0.3763697422
683	0.8447232642	0.3763130198
684	0.8447507584	0.3762678477
685	0.8447867009	0.3762125525
686	0.8448336719	0.3761378742
687	0.8448273152	0.3760750116
688	0.8448589782	0.3760393651
689	0.8448783159	0.3760015945
690	0.8448657006	0.375958281
691	0.8449104423	0.3759433785
692	0.844912634	0.3758989698
693	0.8450165163	0.3758164917
694	0.8450102719	0.3757657436
695	0.845044275	0.375713867
696	0.8450657724	0.3756480837
697	0.8451165858	0.3755667673
698	0.8451081403	0.3754843224
699	0.8451615453	0.3754382541
700	0.8452291575	0.3753774825
701	0.8452059008	0.3753245439
702	0.845163298	0.3752772808
703	0.8452100218	0.3752368549
704	0.8452569449	0.3752053572
705	0.8452887514	0.375168018
706	0.8453419099	0.3751044916
707	0.8453354164	0.3750404342
708	0.8453204405	0.374988458
709	0.8453779136	0.3749027937
710	0.845444191	0.3748431506
711	0.8454738533	0.374791108
712	0.8454165972	0.3747801552
713	0.8453870152	0.3747617677
714	0.8454525471	0.3747106877
715	0.8453611913	0.3746544964
716	0.8454571144	0.3746250565
717	0.8454630606	0.3745752378
718	0.8455356691	0.3745128731
719	0.8456101239	0.3744709868
720	0.8456778666	0.3744153929
721	0.8456737679	0.3743744692
722	0.8456906443	0.3743118389
723	0.8456693189	0.3742617546
724	0.8457137977	0.374198195
725	0.8457179735	0.3741438292
726	0.845756359	0.3740914548
727	0.8457329713	0.374069184
728	0.8457200528	0.3740289241
729	0.845703669	0.3739798687
730	0.8457949502	0.3739217192
731	0.846003546	0.3738334659
732	0.8459740614	0.3737989811
733	0.8459802484	0.3737764117
734	0.8460312073	0.3737095994
735	0.8460460846	0.3736734551
736	0.846088703	0.3736172306
737	0.8460929023	0.3735780991
738	0.846080227	0.3735539365
739	0.8461037997	0.3734961853
740	0.8461696068	0.3734380689
741	0.8461464326	0.3734075669
742	0.8461336767	0.373356852
743	0.8462208222	0.3733119455
744	0.8462100297	0.373279087
745	0.8462503611	0.3732689639
746	0.846237856	0.3732260487
747	0.8462549191	0.3731884772
748	0.8462883183	0.3731522333
749	0.8462732499	0.3730898354
750	0.8462245922	0.3730447961
751	0.8462500244	0.3729995244
752	0.846256525	0.3729767226
753	0.8463372213	0.3729423705
754	0.8463437263	0.3728787446
755	0.8464586342	0.3728209933
756	0.8464928368	0.3728102396
757	0.8464416102	0.3727793726
758	0.8464712772	0.3727209907
759	0.8465735987	0.3726844813
760	0.8465436532	0.3726012398
761	0.8465776055	0.3725242049
762	0.8465989692	0.3724498916
763	0.8465435146	0.3723979487
764	0.8465626986	0.372361738
765	0.846626276	0.3722957555
766	0.8467260538	0.3722034863
767	0.8467072807	0.3721676074
768	0.8466776173	0.3721081967
769	0.8466752791	0.3720629582
770	0.846734872	0.3720215034
771	0.8467535748	0.3719596033
772	0.8467686231	0.3719193434
